국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2022/10/01,토,23597,24819611,47.90,51815810,44,28489,0.11
대한민국,일간,2022/09/30,금,26913,24796014,47.85,51815810,39,28445,0.11
대한민국,일간,2022/09/29,목,28466,24769101,47.80,51815810,42,28406,0.11
대한민국,일간,2022/09/28,수,30846,24740635,47.75,51815810,46,28364,0.11
대한민국,일간,2022/09/27,화,36126,24709789,47.69,51815810,46,28318,0.11
대한민국,일간,2022/09/26,월,39367,24673663,47.62,51815810,26,28272,0.11
대한민국,일간,2022/09/25,일,14168,24634296,47.54,51815810,33,28246,0.11
대한민국,일간,2022/09/24,토,25792,24620128,47.51,51815810,73,28213,0.11
대한민국,일간,2022/09/23,금,29315,24594336,47.46,51815810,63,28140,0.11
대한민국,일간,2022/09/22,목,29081,24565021,47.41,51815810,68,28077,0.11
대한민국,일간,2022/09/21,수,32972,24535940,47.35,51815810,59,28009,0.11
대한민국,일간,2022/09/20,화,41231,24502968,47.29,51815810,59,27950,0.11
대한민국,일간,2022/09/19,월,47864,24461737,47.21,51815810,24,27891,0.11
대한민국,일간,2022/09/18,일,19407,24413873,47.12,51815810,39,27867,0.11
대한민국,일간,2022/09/17,토,34764,24394466,47.08,51815810,46,27828,0.11
대한민국,일간,2022/09/16,금,43400,24359702,47.01,51815810,57,27782,0.11
대한민국,일간,2022/09/15,목,51832,24316302,46.93,51815810,60,27725,0.11
대한민국,일간,2022/09/14,수,71432,24264470,46.83,51815810,72,27665,0.11
대한민국,일간,2022/09/13,화,93904,24193038,46.69,51815810,60,27593,0.11
대한민국,일간,2022/09/12,월,57309,24099134,46.51,51815810,35,27533,0.11
대한민국,일간,2022/09/11,일,36938,24041825,46.40,51815810,22,27498,0.11
대한민국,일간,2022/09/10,토,28214,24004887,46.33,51815810,47,27476,0.11
대한민국,일간,2022/09/09,금,42724,23976673,46.27,51815810,48,27429,0.11
대한민국,일간,2022/09/08,목,69389,23933949,46.19,51815810,68,27381,0.11
대한민국,일간,2022/09/07,수,72599,23864560,46.06,51815810,64,27313,0.11
대한민국,일간,2022/09/06,화,85484,23791961,45.92,51815810,56,27249,0.11
대한민국,일간,2022/09/05,월,99737,23706477,45.75,51815810,44,27193,0.11
대한민국,일간,2022/09/04,일,37548,23606740,45.56,51815810,56,27149,0.12
대한민국,일간,2022/09/03,토,72144,23569192,45.49,51815810,79,27093,0.11
대한민국,일간,2022/09/02,금,79623,23497048,45.35,51815810,74,27014,0.11
대한민국,일간,2022/09/01,목,89528,23417425,45.19,51815810,64,26940,0.12
대한민국,일간,2022/08/31,수,81499,23327897,45.02,51815810,112,26876,0.12
대한민국,일간,2022/08/30,화,103919,23246398,44.86,51815810,75,26764,0.12
대한민국,일간,2022/08/29,월,115519,23142479,44.66,51815810,71,26689,0.12
대한민국,일간,2022/08/28,일,43142,23026960,44.44,51815810,49,26618,0.12
대한민국,일간,2022/08/27,토,85295,22983818,44.36,51815810,70,26569,0.12
대한민국,일간,2022/08/26,금,95538,22898523,44.19,51815810,86,26499,0.12
대한민국,일간,2022/08/25,목,101064,22802985,44.01,51815810,81,26413,0.12
대한민국,일간,2022/08/24,수,113281,22701921,43.81,51815810,108,26332,0.12
대한민국,일간,2022/08/23,화,139165,22588640,43.59,51815810,63,26224,0.12
대한민국,일간,2022/08/22,월,150098,22449475,43.33,51815810,52,26161,0.12
대한민국,일간,2022/08/21,일,59046,22299377,43.04,51815810,65,26109,0.12
대한민국,일간,2022/08/20,토,110944,22240331,42.92,51815810,64,26044,0.12
대한민국,일간,2022/08/19,금,129350,22129387,42.71,51815810,84,25980,0.12
대한민국,일간,2022/08/18,목,138741,22000037,42.46,51815810,83,25896,0.12
대한민국,일간,2022/08/17,수,178480,21861296,42.19,51815810,61,25813,0.12
대한민국,일간,2022/08/16,화,180652,21682816,41.85,51815810,42,25752,0.12
대한민국,일간,2022/08/15,월,84128,21502164,41.50,51815810,37,25710,0.12
대한민국,일간,2022/08/14,일,62078,21418036,41.33,51815810,50,25673,0.12
대한민국,일간,2022/08/13,토,119603,21355958,41.22,51815810,57,25623,0.12
대한민국,일간,2022/08/12,금,124515,21236355,40.98,51815810,67,25566,0.12
대한민국,일간,2022/08/11,목,128671,21111840,40.74,51815810,58,25499,0.12
대한민국,일간,2022/08/10,수,137196,20983169,40.50,51815810,59,25441,0.12
대한민국,일간,2022/08/09,화,151734,20845973,40.23,51815810,50,25382,0.12
대한민국,일간,2022/08/08,월,149819,20694239,39.94,51815810,40,25332,0.12
대한민국,일간,2022/08/07,일,55292,20544420,39.65,51815810,29,25292,0.12
대한민국,일간,2022/08/06,토,105507,20489128,39.54,51815810,27,25263,0.12
